threshold,miss_rate,fpr
0.446,0.147513,0.066967
0.447,0.147942,0.066887
0.448,0.148156,0.066847
0.449,0.148370,0.066807
0.450,0.148585,0.066648
0.451,0.149228,0.066449
0.452,0.149443,0.066330
0.453,0.150086,0.066290
0.454,0.150300,0.066170
0.455,0.150300,0.066131
0.456,0.150300,0.066051
0.457,0.150729,0.065812
0.458,0.151158,0.065732
0.459,0.151372,0.065573
0.460,0.152015,0.065493
0.461,0.152444,0.065454
0.462,0.152444,0.065294
0.463,0.153087,0.065215
0.464,0.153731,0.065215
0.465,0.153945,0.065135
0.466,0.154374,0.064936
0.467,0.155232,0.064856
0.468,0.155875,0.064817
0.469,0.156089,0.064697
0.470,0.156518,0.064498
0.471,0.156732,0.064419
0.472,0.156732,0.064259
0.473,0.156947,0.064219
0.474,0.156947,0.064100
0.475,0.157590,0.064060
0.476,0.158019,0.063941
0.477,0.158877,0.063861
0.478,0.159091,0.063782
0.479,0.159305,0.063662
0.480,0.159734,0.063662
0.481,0.159949,0.063543
0.482,0.159949,0.063344
0.483,0.159949,0.063224
0.484,0.159949,0.063184
0.485,0.160163,0.062906
0.486,0.160592,0.062786
0.487,0.160806,0.062746
0.488,0.161449,0.062707
0.489,0.161664,0.062627
0.490,0.161878,0.062507
0.491,0.161878,0.062428
0.492,0.162307,0.062428
0.493,0.162307,0.062189
0.494,0.162307,0.062030
0.495,0.162521,0.062030
0.496,0.162521,0.061950
0.497,0.162521,0.061711
0.498,0.163165,0.061552
0.499,0.163165,0.061393
0.500,0.163593,0.061154
0.501,0.163593,0.061074
0.502,0.164022,0.060875
0.503,0.164451,0.060875
0.504,0.164451,0.060795
0.505,0.164451,0.060676
0.506,0.164666,0.060517
0.507,0.165094,0.060477
0.508,0.165094,0.060198
0.509,0.165309,0.060158
0.510,0.165309,0.060079
0.511,0.165523,0.060039
0.512,0.165738,0.060039
0.513,0.165738,0.059959
0.514,0.165738,0.059840
0.515,0.165738,0.059721
0.516,0.165738,0.059641
0.517,0.165738,0.059641
0.518,0.166166,0.059561
0.519,0.166381,0.059521
0.520,0.166595,0.059482
0.521,0.167024,0.059442
0.522,0.167238,0.059442
0.523,0.167238,0.059402
0.524,0.167238,0.059362
0.525,0.167238,0.059203
0.526,0.167238,0.059163
0.527,0.167882,0.059004
0.528,0.167882,0.058964
0.529,0.168096,0.058884
0.530,0.168096,0.058805
0.531,0.168525,0.058725
0.532,0.168739,0.058606
0.533,0.168739,0.058446
0.534,0.168954,0.058407
0.535,0.168954,0.058367
0.536,0.168954,0.058048
0.537,0.168954,0.057929
0.538,0.169168,0.057809
0.539,0.169168,0.057730
0.540,0.169383,0.057650
0.541,0.169383,0.057610
0.542,0.169811,0.057531
0.543,0.169811,0.057451
0.544,0.169811,0.057292
0.545,0.169811,0.057252
0.546,0.169811,0.057252
0.547,0.169811,0.057212
0.548,0.169811,0.057053
0.549,0.170240,0.057013
0.550,0.170455,0.056894
0.551,0.170669,0.056854
0.552,0.170669,0.056774
0.553,0.170669,0.056695
0.554,0.170669,0.056496
0.555,0.170669,0.056456
0.556,0.170669,0.056336
0.557,0.170883,0.056257
0.558,0.170883,0.056137
0.559,0.170883,0.056137
0.560,0.171098,0.056018
0.561,0.171098,0.055938
0.562,0.171098,0.055898
0.563,0.171098,0.055819
0.564,0.171098,0.055779
0.565,0.171527,0.055779
0.566,0.171741,0.055739
0.567,0.171741,0.055660
0.568,0.171741,0.055660
0.569,0.171955,0.055660
0.570,0.172170,0.055540
0.571,0.172170,0.055381
0.572,0.172170,0.055261
0.573,0.172170,0.055182
0.574,0.172384,0.055182
0.575,0.172384,0.055062
